ID,Anti-Clockwise,Clockwise,Grand Total,LI,Site
11,19,14,33,0.424,FGCU
12,13,7,20,0.35,FGCU
17,21,22,43,0.512,FGCU
RB5,8,3,11,0.273,RB
15,27,25,52,0.481,FGCU
16,9,6,15,0.4,FGCU
18,4,7,11,0.636,FGCU
RB1,3,5,8,0.625,RB
RB6,3,5,8,0.625,RB
RB3,14,12,26,0.462,RB
