ID,Sex,Site
11,F,FGCU
12,F,FGCU
15,M,FGCU
16,M,FGCU
17,F,FGCU
18,M,FGCU
RB1,M,RB
RB4,M,RB
RB5,F,RB
RB6,M,RB
RB3,F,RB
